source_term	target_term	category	confidence
little finger	мизинец	anatomy	approved
liver	печень	anatomy	approved
liver failure	отказ печени	diagnosis	approved
liver imaging	обследование печени	procedure	approved
living will	завещание на случай недееспособности	other_medical	approved
local anesthetic	местная анестезия	medication	approved
lochia	лохии	symptom	approved
long term problems	долгосрочные проблемы со здоровьем	diagnosis	approved
loop electrosurgical excision procedure	петлевая электрохирургическая эксцизия	procedure	approved
lose balance	потерять равновесие	symptom	approved
loss of appetite	отсутствие аппетита	symptom	approved
loss of appetite	потеря аппетита	symptom	approved
loss of awareness	потеря психической ориентированности	symptom	approved
loss of balance	нарушение равновесия	symptom	approved
loss of central vision	потеря центрального зрения	symptom	approved
loss of communication ability	потеря способности общаться	symptom	approved
loss of consciousness	потеря сознания	symptom	approved
loss of energy	упадок сил	symptom	approved
loss of feeling	потеря чувствительности	symptom	approved
loss of height	потеря веса	symptom	approved
loss of interest	потеря интереса	symptom	approved
loss of interest in sex	потеря интереса к сексу	symptom	approved
loss of memory	потеря памяти	symptom	approved
loss of peripheral vision	потеря бокового зрения	symptom	approved
loss of sense of smell	потеря обоняния	symptom	approved
loud snoring	громкий храп	symptom	approved
low back exercises	упражнения для нижней спины	procedure	approved
low back pain	боль в пояснице	diagnosis	approved
low back stretch	растягивание нижнего отдела спины	procedure	approved
low blood cell count	низкое число кровяных клеток	symptom	approved
low blood sugar	низкий уровень сахара в крови	symptom	approved
low blood sugar	низкое содержание сахара в крови	diagnosis	approved
low density lipoproteins	липопротеиды низкой плотности	test	approved
low estrogen levels	низкий уровень эстрогена	symptom	approved
low fat foods	нежирные продукты	other_medical	approved
low sodium	низкий уровень натрия	symptom	approved
lower arm	предплечье	anatomy	approved
lower back	поясница	anatomy	approved
lower back pain	боль в пояснице	symptom	approved
lower back pressure	давление в нижней части спины	symptom	approved
lp shunt	пояснично-перитонеальный шунт	other_medical	approved
lumbar curve	поясничный изгиб	anatomy	approved
lumbar extension	растягивание мышц поясницы	procedure	approved
lumbar puncture	люмбальная пункция	procedure	approved
lumbar spine	поясничный отдел позвоночника	anatomy	approved
lumbar spine stretches	растягивание поясничного отдела позвоночника	procedure	approved
lump	новообразование	symptom	approved
lump	припухлость	symptom	approved
lumpectomy	лампэктомия	procedure	approved
lung	легкое	anatomy	approved
lung cancer	рак легких	diagnosis	approved
lung disease	легочное заболевание	diagnosis	approved
lung diseases	заболевания легких	diagnosis	approved
lung function tests	тесты функции легких	test	approved
lung infection	легочная инфекция	diagnosis	approved
lung medicine	лекарства для легких	medication	approved
lungs	легкие	anatomy	approved
lupus	волчанка	diagnosis	approved
lymph nodes	лимфатические узлы	anatomy	approved
lymph nodes	лимфоузлы	anatomy	approved
lymphoma	лимфома	diagnosis	approved
magnesium citrate	цитрат магния	medication	approved
magnetic resonance image	мрт	test	approved
magnetic resonance imaging	магнитно-резонансная томография	test	approved
malignant tumors	злокачественные опухоли	diagnosis	approved
mammogram	маммограмма	test	approved
mammogram	маммография	test	approved
manual breast pump	ручной молокоотсос	other_medical	approved
masako maneuver	маневр масако	procedure	approved
mastectomy	мастэктомия	procedure	approved
meal planning	планирование приемом пищи	procedure	approved
measles	корь	diagnosis	approved
medical decisions	медицинские решения	other_medical	approved
medical problems	заболевания	diagnosis	approved
medical treatment	медицинское лечение	procedure	approved
medicated lice shampoo	шампунь от вшей	medication	approved
medicine	лекарства	medication	approved
medicine bottle	флакон с лекарством	other_medical	approved
medicine dose	дозировка лекарства	other_medical	approved
medicine dose	дозировка медикамента	medication	approved
medicine safety	безопасность при приеме лекарств	other_medical	approved
medicine spoon	мерная ложка	other_medical	approved
medicine stress test	нагрузочный тест с помощью лекарства	test	approved
medicines	лекарства	medication	approved
melanoma	меланома	diagnosis	approved
memory loss	потеря памяти	symptom	approved
memory loss	проблемы с памятью	symptom	approved
meningococcal	менингокок	diagnosis	approved
menopause	менопауза	diagnosis	approved
menstrual cycles	менструальный цикл	anatomy	approved
menstrual period	менструация	other_medical	approved
mental health professional	специалист по психическому здоровью	other_medical	approved
mental retardation	умственная отсталость	diagnosis	approved
metal fragments	металлические осколки	other_medical	approved
metallic taste	металлический привкус	symptom	approved
metamucil	метамуцил	medication	approved
metastasis	метастазирование	diagnosis	approved
metastasis	метастазы	diagnosis	approved
metformin	метформин	medication	approved
methicillin resistant staphylococcus aureus	метициллинрезистентный золотистый стафилококк	diagnosis	approved
microalbuminuria test	анализ на микроальбумины	test	approved
middle ear	среднее ухо	anatomy	approved
middle ear infection	воспаление среднего уха	diagnosis	approved
migraine	мигрень	diagnosis	approved
migraine headache	мигрень	diagnosis	approved
mild cramping	легкие судороги	symptom	approved
milk flow	выделение молока	other_medical	approved
milliliter	миллилитр	other_medical	approved
mini stroke	микроинсульт	diagnosis	approved
mini-squats	мини-приседания	procedure	approved
miralax	miralax	medication	approved
miralax	миралакс	medication	approved
miscarriage	выкидыш	diagnosis	approved
mist	туман	other_medical	approved
mixed incontinence	смешанное недержание	diagnosis	approved
mmr	mmr	medication	approved
modified barium swallow	рентгенологическое исследование пищевода с барием	test	approved
modified biophysical profile	модифицированный биофизический профиль	test	approved
mole	родинка	anatomy	approved
monosaturated fats	мононенасыщенные жиры	other_medical	approved
mood changes	изменения настроения	symptom	approved
mood swings	перепады настроения	symptom	approved
mood swings	смена настроения	symptom	approved
morning sickness	токсикоз	symptom	approved
morphine	морфин	medication	approved
mouth infection	инфекция ротовой полости	diagnosis	approved
mouth sores	боль во рту	symptom	approved
mouth sores	язвы в ротовой полости	symptom	approved
mouth sores	язвы во рту	symptom	approved
mouth ulcers	язвы во рту	symptom	approved
mouthpiece	мундштук	other_medical	approved
mouthwash	ополаскиватель для полости рта	medication	approved
mri	магнитно-резонансная томография	test	approved
mri	мрт	test	approved
mrsa	мрзс	diagnosis	approved
mucus	мокрота	symptom	approved
mucus	слизь	symptom	approved
mucus plug	слизистая пробка	symptom	approved
mucus with bowel movements	слизь в каловых массах	symptom	approved
muga	радионуклидная ангиография	test	approved
multi-infarct dementia	мультиинфарктная деменция	diagnosis	approved
multivitamin supplement	поливитамины и минеральные добавки	medication	approved
mumbled speech	невнятная речь	symptom	approved
mumps	паротит	diagnosis	approved
muscle aches	боль в мышцах	symptom	approved
muscle aches	мышечные боли	symptom	approved
muscle cramps	спазм мышц	symptom	approved
muscle loss	потеря мышечной массы	symptom	approved
muscle pain	боль в мышцах	symptom	approved
muscle spasms	спазмы мышц	symptom	approved
muscle tension	напряжение мышц	symptom	approved
muscle twitch	подергивание мышцы	symptom	approved
muscle weakness	мышечная слабость	symptom	approved
muscle weakness	слабость мышц	symptom	approved
muscles	мышцы	anatomy	approved
myocardial infarction	инфаркт миокарда	diagnosis	approved
nails	ногти	anatomy	approved
naloxone	налоксон	medication	approved
naproxen	напроксен	medication	approved
narcolepsy	нарколепсия	diagnosis	approved
narrow stools	тонкий стул	symptom	approved
narrowed blood vessels	суженные кровеносные сосуды	diagnosis	approved
narrowed blood vessels	сузившиеся кровеносные сосуды	symptom	approved
nasal discharge	выделения из носа	symptom	approved
nasal drainage	выделения из носа	symptom	approved
nasal spray	назальный спрей	medication	approved
nausea	тошнота	symptom	approved
nausea and vomiting	тошнота и рвота	symptom	approved
nausea or vomiting	тошнота или рвота	symptom	approved
navel	пупок	anatomy	approved
nebulizer	небулайзер	other_medical	approved
nebulizer treatment	небулайзерная терапия	procedure	approved
neck	шея	anatomy	approved
neck pain	боль в шее	symptom	approved
neck stiffness	скованность в шее	symptom	approved
needle	игла	other_medical	approved
needle disposal	контейнер для использованных игл	other_medical	approved
needle disposal box	контейнер для использованных игл	other_medical	approved
needles and syringes	иглы и шприцы	other_medical	approved
neosporin	неоспорин	medication	approved
nephropathy	нефропатия	diagnosis	approved
nerve conduction study	исследование нервной проводимости	test	approved
nerve conduction test	исследование нервной проводимости	test	approved
nerve conduction test	тест нервной проводимости	test	approved
nerve damage	поражение нервных окончаний	diagnosis	approved
nerve injury	повреждение нервов	diagnosis	approved
nerves	нервы	anatomy	approved
neurofibrillary tangles	нейрофибриллярные клубки	other_medical	approved
neutropenia	нейтропенией	diagnosis	approved
neutropenia	нейтропения	diagnosis	approved
nicotine	никотин	other_medical	approved
nicotine patch	никотиновый пластырь	medication	approved
night sweats	ночная потливость	symptom	approved
night sweats	потоотделение во время сна	symptom	approved
night sweats	потоотделение ночью	symptom	approved
night terrors	ночные страхи	diagnosis	approved
nipple	сосок	anatomy	approved
nipple soreness	боли в сосках	symptom	approved
nipples	соски	anatomy	approved
nit comb	гребень для вычесывания гнид	procedure	approved
nitroglycerin	нитроглицерин	medication	approved
nitroglycerin patch	нитроглицериновый пластырь	medication	approved
nitroglycerin spray	спрей нитроглицерина	medication	approved
nitroglycerin tablet	таблетка нитроглицерина	medication	approved
nits	гниды	other_medical	approved
non-hodgkin's lymphoma	неходжкинская лимфома	diagnosis	approved
non-small cell lung cancer	немелкоклеточный рак легкого	diagnosis	approved
non-stress test	нестрессовый тест	test	approved
non-weight bearing	без нагрузки на ногу	procedure	approved
normal curves in back	правильная осанка	other_medical	approved
not breathing	не дышит	symptom	approved
novolog	novolog	medication	approved
nozzle	наконечник	anatomy	approved
nph insulin	инсулин nph	medication	approved
nsaids	нестероидные противовоспалительные препараты	medication	approved
numb	неметь	symptom	approved
numbing medicine	лекарство, вызывающее онемение	medication	approved
numbing medicine	обезболивающее	medication	approved
numbing medicine	обезболивающее лекарство	medication	approved
numbing medicine	обезболивающее средство	medication	approved
numbing medicine	спрей, вызывающий онемение	medication	approved
numbness	онемение	symptom	approved
numbness in feet or hands	онемение стоп или рук	symptom	approved
numbness or tingling	онемение или покалывание	symptom	approved
obstetrician	гинеколог	other_medical	approved
obstructive sleep apnea	синдром обструктивного апноэ	diagnosis	approved
occipital lobe	затылочная доля	anatomy	approved
occupational therapy	трудовая терапия	procedure	approved
ointment	мазь	medication	approved
open appendectomy	открытая аппендэктомия	procedure	approved
open heart surgery	операция на открытом сердце	procedure	approved
open procedure	открытая операция	procedure	approved
opioid	опиоид	medication	approved
optic nerve	зрительный нерв	anatomy	approved
oral mucosa	слизистая оболочка рта	anatomy	approved
oral temperature	температура при измерении во рту	test	approved
orthostatic hypotension	ортостатическая гипотензия	diagnosis	approved
osteoarthritis	остеоартрит	diagnosis	approved
osteoporosis	остеопороз	diagnosis	approved
otitis media	средний отит	diagnosis	approved
outbursts of emotion	резкая смена эмоционального состояния	symptom	approved
ovarian cancer	рак яичников	diagnosis	approved
ovaries	яичники	anatomy	approved
ovary	яичник	anatomy	approved
over the counter pain medicine	безрецептурные обезболивающие лекарства	medication	approved
over-the-counter medicines	лекарственные препараты, опускаемые без рецепта	medication	approved
overactive bladder	гиперактивный мочевой пузырь	diagnosis	approved
overactive gland	повышенная активность железы	diagnosis	approved
overdose	передозировка	diagnosis	approved
overflow incontinence	недержание вследствие переполнения	diagnosis	approved
overweight	лишний вес	symptom	approved
oxygen	кислород	medication	approved
oxygen concentrator	концентратор кислорода	other_medical	approved
oxygen in blood	кислород в крови	test	approved
oxygen level	уровень кислорода	test	approved
oxygen levels	уровень кислорода	test	approved
oxygen therapy	кислород	medication	approved
oxygen therapy	лечение кислородом	procedure	approved
pacemaker	электрокардиостимулятор	other_medical	approved
pacifier	пустышка	other_medical	approved
pain	боль	symptom	approved
pain and stiffness	боль и скованность	symptom	approved
pain and swelling	боль и припухлость	symptom	approved
pain control	обезболивание	procedure	approved
pain management	контроль боли	procedure	approved
pain medicine	обезболивающее	medication	approved
pain medicine	обезболивающее лекарство	medication	approved
pain medicine	обезболивающее средство	medication	approved
pain medicine	обезболивающие лекарства	medication	approved
pain medicine	обезболивающий препарат	medication	approved
pain medicines	обезболивающие	medication	approved
pain relief	унять боль	procedure	approved
pain when passing urine	боль при мочеиспускании	symptom	approved
painful intercourse	болезненный половой акт	symptom	approved
painful intercourse	боль во время секса	symptom	approved
pale skin	бледная кожа	symptom	approved
pale skin	бледность кожи	symptom	approved
pale skin	бледные кожные покровы	symptom	approved
paleness	бледность	symptom	approved
palm	ладонь	anatomy	approved
pancreas	поджелудочная железа	anatomy	approved
pancreas imaging	обследование поджелудочной железы	procedure	approved
pandemic	пандемия	other_medical	approved
pandemic flu	пандемический грипп	diagnosis	approved
pandemic flu	пандемия гриппа	diagnosis	approved
pap smear	мазок папаниколау	test	approved
parasite	паразит	other_medical	approved
parasites	паразиты	other_medical	approved
parietal lobe	теменная доля	anatomy	approved
parkinson's disease	болезнь паркинсона	diagnosis	approved
paroxetine	пароксетин	medication	approved
partial weight bearing	частичная нагрузка	procedure	approved
pasteurized milk	пастеризованное молоко	other_medical	approved
patella	коленная чашечка	anatomy	approved
peak flow	пневмотахометрия	test	approved
peak flow meter	пикфлоуметр	test	approved
peak flow meter	пневмотахометр	test	approved
pediatric doctor	педиатр	other_medical	approved
pediatric nurse practitioner	медсестра-помощник педиатра	other_medical	approved
pediatrician	педиатр	other_medical	approved
pediculosis	педикулез	diagnosis	approved
peeling skin	шелушащаяся кожа	symptom	approved
pelvic exam	гинекологический осмотр	procedure	approved
pelvic exam	исследование органов малого таза	procedure	approved
pelvic exam	осмотр у гинеколога	test	approved
pelvic floor exercises	упражнения для мышц тазового дна	procedure	approved
pelvic floor muscles	мышцы тазового дна	anatomy	approved
pelvic inflammatory disease	воспаление тазовых органов	diagnosis	approved
pelvic tilt	наклоны таза	procedure	approved
pelvic ultrasound	узи органов малого таза	test	approved
pelvis	тазовая кость	anatomy	approved
penicillin	пенициллин	medication	approved
penile prosthesis	фаллопротез	other_medical	approved
percussion	выстукивание	procedure	approved
peri care	уход за промежностью	procedure	approved
perineal area	промежность	anatomy	approved
perineum	промежность	anatomy	approved
peripheral artery disease	заболевания периферических артерий	diagnosis	approved
peripheral neuropathy	периферическая невропатия	diagnosis	approved
peripheral vascular disease	заболевания периферических сосудов	diagnosis	approved
peritoneal dialysis	перитонеальный диализ	procedure	approved
permanent brain damage	необратимое повреждение мозга	diagnosis	approved
permethrin	перметрин	medication	approved
persistent cough	кашель, который не проходит	symptom	approved
pertussis	коклюш	diagnosis	approved
pessary	маточное кольцо	procedure	approved
pet dander	аллергены животных	other_medical	approved
pet scan	пэт	test	approved
pharmacist	фармацевт	other_medical	approved
pharynx	глотка	anatomy	approved
physical activity	физическая нагрузка	other_medical	approved
physical exam	обследование	procedure	approved
physical exercise	физическая активность	procedure	approved
physical therapist	физиотерапевт	other_medical	approved
physical therapists	физиотерапевты	other_medical	approved
physical therapy	физиотерапия	procedure	approved
physical therapy	физическая терапия	procedure	approved
physically active	активный образ жизни	other_medical	approved
pin electrode	игольчатый электрод	other_medical	approved
pinna	наружное ухо	anatomy	approved
piperonyl butoxide	пиперонил бутоксид	medication	approved
placenta	плацента	anatomy	approved
plaque	бляшка	other_medical	approved
plaque	бляшки	anatomy	approved
platelets	тромбоциты	anatomy	approved
plugged duct	закупорка молочных протоков	diagnosis	approved
plunger	поршень	other_medical	approved
pneumococcal conjugate	пневмококковая конъюгированная вакцина	medication	approved
pneumococcal polysaccharide	пневмококковая полисахаридная вакцина	medication	approved
pneumococcal vaccine	вакцинация от пневмококковой инфекции	procedure	approved
pneumonia	пневмония	diagnosis	approved
pneumonia vaccine	вакцинация от пневмонии	medication	approved
pneumonia vaccine	прививка от пневмонии	procedure	approved
pocket mask	дыхательная маска	other_medical	approved
poison control	токсикологическая служба	other_medical	approved
polio	полиомиелит	diagnosis	approved
pollen	пыльца	other_medical	approved
polyethylene glycol	полиэтиленгликоль	medication	approved
polyps	полипы	diagnosis	approved
polysomnography	полисомнография	test	approved
polyuria	частые позывы к мочеиспусканию	symptom	approved
poor appetite	плохой аппетит	symptom	approved
poor appetite	потеря аппетита	symptom	approved
poor blood flow	плохое кровообращение	symptom	approved
poor circulation	проблемы с кровообращением	symptom	approved
poor coordination	расстройства координации	symptom	approved
poor decision making	способностью принимать решения	symptom	approved
poor judgment	неадекватность суждений	symptom	approved
poor memory	проблемы с памятью	symptom	approved
poor muscle control	слабый контроль над мышцами	symptom	approved
poor posture	неправильная осанка	symptom	approved
porous surface	пористая поверхность	other_medical	approved
portion size	размер порции	other_medical	approved
positron emission tomography scan	пэт-сканирование	test	approved
postpartum depression	послеродовая депрессия	diagnosis	approved
postural drainage	постуральный дренаж	procedure	approved
potassium	калий	other_medical	approved
powdered formula	сухая смесь	medication	approved
pre-eclampsia	преэклампсия	diagnosis	approved
prediabetes	преддиабет	diagnosis	approved
preeclampsia	преэклампсия	diagnosis	approved
pregnancy	беременность	diagnosis	approved
pregnancy test	тест на беременность	test	approved
pregnant	беременна	symptom	approved
pregnant	беременны	symptom	approved
premature	недоношенный	diagnosis	approved
prenatal care	ведение беременности	procedure	approved
prenatal care	дородовое обследование	procedure	approved
prenatal check ups	дородовое обследование	procedure	approved
prenatal visit	посещение женской консультации	procedure	approved
prenatal vitamin	витамины для беременных	medication	approved
prenatal vitamins	витамины для беременных	medication	approved
prescription medicine	препарат по рецепту	medication	approved
prescription medicines	лекарственные препараты, отпускаемые по рецепту	medication	approved
press ups	отжимания	procedure	approved
press-ups	отжимания	procedure	approved
pressure bandage	давящая повязка	procedure	approved
pressure bandage	повязка	procedure	approved
pressure in lower belly	давление внизу живота	symptom	approved
preterm labor	преждевременные роды	diagnosis	approved
problems with breathing	затрудненное дыхание	symptom	approved
problems with movement	затруднения при ходьбе	symptom	approved
problems with speech	затруднения речи	symptom	approved
progestin	прогестин	medication	approved
protective clothing	защитная одежда	other_medical	approved
protein	белок	other_medical	approved
protein supplement	белковые добавки	medication	approved
ptca	чрескожная транслюминальная коронарная ангиопластика	procedure	approved
pulmonary function tests	функциональные тесты легких	test	approved
pulse	пульс	test	approved
puncture wound	колотая рана	diagnosis	approved
pus	гной	symptom	approved
pus drainage	гнойные выделения	symptom	approved
quad screen	четверной тест	test	approved
quad sets	упражнение на мышцы бедра	procedure	approved
quarter squat	четверть приседа	procedure	approved
quitting tobacco	отказ от табака	procedure	approved
rabies	бешенство	diagnosis	approved
radiation	облучение	procedure	approved
radiation exposure	облучение	other_medical	approved
radiation therapy	лучевая терапия	procedure	approved
radiation therapy	радиотерапия	procedure	approved
radioactive iodine	радиоактивный йод	medication	approved
radioactive medicine	радиоактивное вещество	medication	approved
radon gas	радон	other_medical	approved
range of motion	амплитуда движения	procedure	approved
range of motion	диапазон движения	procedure	approved
range of motion exercises	упражнения на амплитуду движения	procedure	approved
rapid and strong pulse	ускоренный и сильный пульс	symptom	approved
rash	сыпь	symptom	approved
ready to feed formula	готовая смесь	medication	approved
rear-facing seat	кресло, обращенное против движения	other_medical	approved
recovery room	послеоперационная палата	other_medical	approved
rectal bleeding	кровотечение из прямой кишки	symptom	approved
rectal exam	обследование прямой кишки	procedure	approved
rectal pressure	ощущение ректального давления	symptom	approved
rectal temperature	ректальная температура	test	approved
rectal temperature	температура в заднем проходе	test	approved
rectum	прямая кишка	anatomy	approved
rectum pressure	давление в прямой кишке	symptom	approved
red blood cells	красные кровяные клетки	anatomy	approved
red blood cells	красные кровяные тельца	anatomy	approved
red blood cells	эритроциты	anatomy	approved
red marks	красные пятна	symptom	approved
red patches	участки покраснения кожи	symptom	approved
red skin	покраснение кожи	symptom	approved
redness	краснота	symptom	approved
redness	покраснение	symptom	approved
redness and swelling	покраснение или отек	symptom	approved
redness around joint	покраснение кожи около сустава	symptom	approved
redness at incision	покраснение в области шва	symptom	approved
registered nurse	дипломированный специалист	other_medical	approved
rehabilitation therapy	реабилитационная терапия	procedure	approved
renal failure	почечная недостаточность	diagnosis	approved
rescue breathing	искусственное дыхание	procedure	approved
respiratory distress	трудно дышать	symptom	approved
respiratory infection	респираторная инфекция	diagnosis	approved
restful sleep	спокойный сон	symptom	approved
restless leg syndrome	синдром беспокойных ног	diagnosis	approved
restlessness	беспокойство	symptom	approved
retina	сетчатка	anatomy	approved
retinal blood vessels	кровеносные сосуды сетчатки	anatomy	approved
retinal blood vessels	сосуды сетчатки	anatomy	approved
retinal test	исследование сетчатки	test	approved
retinopathy	ретинопатия	diagnosis	approved
reye's syndrome	синдром рея	diagnosis	approved
rh factor	резус-фактор	test	approved
rheumatoid arthritis	ревматоидный артрит	diagnosis	approved
ribs	ребра	anatomy	approved
right atrium	правое предсердие	anatomy	approved
ringing in the ear	звон в ухе	symptom	approved
rooting reflex	корневой рефлекс	other_medical	approved
rotator cuff	мышцы-вращатели плеча	anatomy	approved
rotator cuff injury	травма мышц-вращателей плеча	diagnosis	approved
rotavirus	ротавирус	diagnosis	approved
rubber stopper	резиновая пробка	other_medical	approved
rubella	краснуха	diagnosis	approved
rubella antibodies	антитела к краснухе	test	approved
runny nose	насморк	symptom	approved
rupture of membranes	разрыв околоплодных оболочек	symptom	approved
saccharin	сахарин	medication	approved
sacrum	крестец	anatomy	approved
sadness	грусть	symptom	approved
saliva reduction	уменьшение слюноотделения	symptom	approved
salivary glands	слюнные железы	anatomy	approved
salt substitute	заменитель соли	medication	approved
sarcoma	саркома	diagnosis	approved
saturated fats	насыщенные жиры	other_medical	approved
scalp	кожа головы	anatomy	approved
scalp sores	язвы на коже головы	symptom	approved
scans	сканирование	test	approved
scleroderma	склеродермия	diagnosis	approved
seasonal flu	сезонный грипп	diagnosis	approved
seasonal flu vaccine	вакцина против сезонного гриппа	medication	approved
second trimester	второй триместр	other_medical	approved
secondhand smoke	пассивное курение	other_medical	approved
sedative	успокоительное	medication	approved
sedative	успокоительное средство	medication	approved
seizure	припадок	symptom	approved
seizure	судороги	symptom	approved
seizure with fever	лихорадка с припадком	symptom	approved
seizures	припадки	diagnosis	approved
seizures	судороги	symptom	approved
self breast exam	самостоятельная проверка груди	procedure	approved
sertraline	сертралин	medication	approved
severe headache	сильная головная боль	symptom	approved
severe headaches	сильная головная боль	symptom	approved
severe problems swallowing	серьезные проблемы при глотании	symptom	approved
severe weakness	сильная слабость	symptom	approved
sexually transmitted infection	инфекция, передаваемая половым путем	diagnosis	approved
sexually transmitted infections	венерические заболевания	diagnosis	approved
shaken baby syndrome	синдром встряхивания младенца	diagnosis	approved
shaken baby syndrome	синдром детского сотрясения	diagnosis	approved
shaky	дрожь	symptom	approved
shaky	трясет	symptom	approved
sharp pain	острая боль	symptom	approved
sharps container	контейнер с острыми предметами	other_medical	approved
shingles	опоясывающий герпес	diagnosis	approved
short arc quads	упражнение «короткая дуга» на мышцы бедра	procedure	approved
shortness of breath	затруднение дыхания	symptom	approved
shortness of breath	затрудненное дыхание	symptom	approved
shortness of breath	одышка	symptom	approved
shoulder	плечо	anatomy	approved
shoulder abduction	отведение плеча	procedure	approved
shoulder blades	лопатки	anatomy	approved
shoulder external rotation	движение плеча во внешнем направлении	procedure	approved
shoulder flexion	сгибание плеча	procedure	approved
shoulder internal rotation	движение плеча во внутреннем направлении	procedure	approved
shoulder pain	боль в плечах	symptom	approved
shoulder range of motion	подвижность плеча	procedure	approved
shoulder sling	плечевой бандаж	procedure	approved
shoulder strengthening	укрепление плеча	procedure	approved
sickle cell anemia	серповидно-клеточная анемия	diagnosis	approved
sickle-cell disease	серповидноклеточная анемия	diagnosis	approved
side clam	разведение коленей лежа на боку	procedure	approved
side effects	побочные эффекты	symptom	approved
side effects	побочные явления	other_medical	approved
side rails	боковые ограждения	other_medical	approved
side-lying position	положение на боку	procedure	approved
sids	сдсм	diagnosis	approved
sids	синдром внезапной детской смерти	diagnosis	approved
sigmoidoscopy	ректороманоскопия	procedure	approved
silent strokes	тихие инсульты	diagnosis	approved
sinus headache	синусовая головная боль	symptom	approved
sinus node	синусный узел	anatomy	approved
sinus passages	синусовые пазухи	anatomy	approved
sinus pressure	заложенность носовых пазух	symptom	approved
sinus problems	проблемы с носовыми пазухами	diagnosis	approved
sitz bath	сидячая ванна	procedure	approved
skin blister	волдыри	symptom	approved
skin blisters	пузырьки на коже	symptom	approved
skin breaks	появление на коже язв	symptom	approved
skin burning	ощущение жжения на коже	symptom	approved
skin burns	жжение кожи	symptom	approved
skin cancer	рак кожи	diagnosis	approved
skin dryness	сухость кожи	symptom	approved
skin exam	осмотр кожи	test	approved
skin infection	инфекция кожи	diagnosis	approved
skin infections	кожные инфекции	diagnosis	approved
skin irritation	раздражение кожи	symptom	approved
skin itching	зуд на коже	symptom	approved
skin lesion	поражение кожи	symptom	approved
skin rash	сыпь	symptom	approved
skin rashes	сыпь	symptom	approved
skin rashes	сыпь на коже	symptom	approved
skin redness	покраснение кожи	symptom	approved
skin test	кожный тест	test	approved
skin tests	кожные пробы	test	approved
skin wound	кожная рана	symptom	approved
skipped heart beats	пропуск сердечного удара	symptom	approved
skipped heart beats	пропущенные удары сердца	symptom	approved
skipped heartbeats	пропуск сердцебиения	symptom	approved
skull fracture	перелом костей черепа	diagnosis	approved
sleep apnea	синдром апноэ	diagnosis	approved
sleep changes	изменения в состоянии сна	symptom	approved
sleep diary	дневник сна	test	approved
sleep disorders	расстройства сна	diagnosis	approved
sleep disturbances	нарушения сна	symptom	approved
sleep patterns	режим сна	other_medical	approved
sleep problems	проблемы со сном	symptom	approved
sleep study	исследование сна	test	approved
sleepiness	сонливость	symptom	approved
sleepwalking	лунатизм	diagnosis	approved
slip resistant socks	нескользящие носки	other_medical	approved
slow healing	медленно заживающие раны	symptom	approved
slow healing of wounds	медленное заживление ран	symptom	approved
small bowel	тонкий кишечник	anatomy	approved
small cell lung cancer	мелкоклеточный рак легкого	diagnosis	approved
small intestine	тонкий кишечник	anatomy	approved
smallpox	оспа	diagnosis	approved
sneezing	чихание	symptom	approved
sneezing	чиханье	symptom	approved
sodium	натрий	other_medical	approved
soft bristle toothbrush	зубная щетка с мягкой щетиной	other_medical	approved
soft spots	мягкие участки	anatomy	approved
soft tissues	мягкие ткани	anatomy	approved
sore gums	болезненность десен	symptom	approved
sore mouth	стоматит	symptom	approved
sore mouth	язвы во рту	symptom	approved
sore nose	боль в носу	symptom	approved
sore throat	ангина	diagnosis	approved
sore throat	боль в горле	symptom	approved
sore throat	фарингит	diagnosis	approved
sore throat lozenges	пастилки от боли в горле	medication	approved
soreness	болезненные ощущения	symptom	approved
sores	язвы	symptom	approved
sores in the mouth	язвы в полости рта	symptom	approved
special needs	ограниченные возможности	other_medical	approved
specimen	образец	test	approved
speculum	влагалищное зеркало	procedure	approved
speculum	зеркало	procedure	approved
speech language pathologist	врач-логопед	other_medical	approved
speech problems	проблемы с речью	symptom	approved
spinal cord	спинной мозг	anatomy	approved
spinal curves	спинные изгибы	anatomy	approved
spinal puncture	спиномозговая пункция	procedure	approved
spinal tap	поясничный прокол	procedure	approved
spine	позвоночник	anatomy	approved
spitting up	срыгивание	symptom	approved
splint	шина	procedure	approved
sponge bath	гигиенический душ со смоченной губкой	procedure	approved
sponge bath	обтирание губкой	procedure	approved
sponge bath	протирание влажной губкой	procedure	approved
sprain	растяжение	diagnosis	approved
sputum	мокрота	anatomy	approved
sputum culture	анализ мокроты	test	approved
sputum culture	бактериологическое исследование мокроты	test	approved
sputum test	анализ мокроты	test	approved
squamous cell carcinoma	плоскоклеточная карцинома	diagnosis	approved
stages of labor	этапы родов	procedure	approved
staph germ	стафилококк	other_medical	approved
staples	скобы	procedure	approved
staring spells	пристальный взгляд	symptom	approved
startle reflex	рефлекс испуга	other_medical	approved
stent	стент	procedure	approved
stepping reflex	шаговый рефлекс	other_medical	approved
stereotactic biopsy	стереотактическая биопсия	procedure	approved
steri strips	полоски steri-strip	other_medical	approved
steri-strips	стерильные полоски	procedure	approved
sterile bandage	стерильная повязка	other_medical	approved
steroid injections	инъекции стероидов	medication	approved
steroids	стероиды	medication	approved
stethoscope	стетоскоп	other_medical	approved
sti	иппп	diagnosis	approved
stiff neck	затвердение затылочных мышц	symptom	approved
stiff neck	твердая шея	symptom	approved
stiffness	скованность	symptom	approved
stimulants	стимуляторы	medication	approved
