# label: Wikidata — болезни (ICD-10) и лекарства (ATC)
# lang: RU→EN
# domains: medical, pharma
# tier: auto
# Собрано backend/authority_data/fetch_wikidata.py.
# Только однозначные в обе стороны пары: если у термина нашлось
# несколько соответствий, он выброшен — приказ не может быть
# двусмысленным, такие термины решает человек.
(+)-псевдоэфедрин	(+)-pseudoephedrine
Недостаточность трёхстворчатого клапана	tricuspid insufficiency
нежелательная беременность	unplanned pregnancy
нежелательное явление	adverse effect
нейрогенный мочевой пузырь	neurogenic bladder
Нейрогенный шок	neurogenic shock
Нейромиотония	neuromyotonia
Нейросифилис	neurosyphilis
Нейрофиброма	neurofibroma
Некомпактный миокард левого желудочка	left ventricular noncompaction
Некротический энтероколит	necrotizing enterocolitis
некрофилия	necrophilia
Неларабин	nelarabine
нельфинавир	nelfinavir
нематодозы	nematode infection
Неомицин	neomycin
неонатальная диарея	neonatal diarrhea
неоплазия	neoplasm
неостигмин	neostigmine
Непафенак	nepafenac
неправильное предлежание плода	malpresentation of fetus
нервная анорексия	anorexia nervosa
нервная булимия	bulimia nervosa
нервозность	nervousness
Нерегулярные менструации	Irregular menstruation
несахарный диабет	diabetes insipidus
несиндромный редукционный дефект конечности	non-syndromic limb reduction defect
Несовершенный остеогенез	osteogenesis imperfecta
Нетарсудил	netarsudil
неустойчивое расстройство личности	haltlose personality disorder
нефопам	(RS)-nefopam
Нефритический синдром	nephritic syndrome
Нефробластома	nephroblastoma
нефрогенный несахарный диабет	nephrogenic diabetes insipidus
нефрогенный синдром неадекватного антидиуреза	nephrogenic syndrome of inappropriate antidiuresis
нефротоксичность	nephrotoxicity
неходжкинские лимфомы	non-Hodgkin lymphoma
Нецитумумаб	necitumumab
Ниаламид	nialamide
ниволумаб	nivolumab
низатидин	nizatidine
Низко-дифференцированный рак щитовидной железы	poorly differentiated thyroid cancer
никетамид	nikethamide
Никлозамид	niclosamide
Никорандил	nicorandil
Никоретте	Nicorette
никотин	nicotine
никотинамид	niacinamide
Никотинзаместительная терапия	nicotine replacement therapy
никотиновая абстиненция	nicotine withdrawal
никотиновая кислота	nicotinic acid
никотиновое отравление	tobacco use disorder
Никофлекс	Nicoflex
никталопия	night blindness
никтурия	nocturia
нилотиниб	nilotinib
нилутамид	nilutamide
нимесулид	nimesulide
нимодипин	nimodipine
Нимустин	nimustine
нимфомания	nymphomania
Нинтеданиб	nintedanib
нистагм	nystagmus
Нистатин	nystatin
нитразепам	nitrazepam
нитрит натрия	sodium nitrite
нитроглицерин	nitroglycerin
Нитроксолин	nitroxoline
Нитропруссид натрия	nitroprusside
Нитрофурал	nitrofurazone
Нитрофурантоин	nitrofurantoin
Нитчатка Банкрофта	Wuchereria bancrofti
нифедипин	nifedipine
Нифлумовая кислота	niflumic acid
нифуроксазид	nifuroxazide
Нифуртимокс	nifurtimox
Ницерголин	nicergoline
новообразование кожи	skin neoplasm
Новообразования эндокринной системы	endocrine gland neoplasm
нозофобия	nosophobia
номифензин	(RS)-nomifensine
норадреналин	norepinephrine
нортриптилин	nortriptyline
Норфенефрин	norfenefrine
норфлоксацин	norfloxacin
норэтистерон	norethisterone
носовое кровотечение	nosebleed
Ночной ужас	night horror
Нусинерсен	nusinersen
обвитие пуповины	nuchal cord
обезвоживание	dehydration
обезглавливание	decapitation
обетихолевая кислота	obeticholic acid
Обидоксим	obidoxime chloride
обинутузумаб	obinutuzumab
обморок	syncope
обсессивно-компульсивное расстройство	obsessive-compulsive disorder
общее расстройство развития	pervasive developmental disorder
общий симптом	general symptom
Овуляторный синдром	Mittelschmerz
огнестрельное ранение	gunshot wound
одинофагия	odynophagia
одноглазость	one-eyed
Однородительская дисомия	uniparental disomy
одышка	dyspnea
ожог	burn
ожог второй степени	second-degree burn
ожог первой степени	first-degree burn
ожог пищевода	esophageal burn
ожог третьей степени	third-degree burn
Ожог яда многоножки	millipede burn
озноб	chills
Окологлоточный абсцесс	parapharyngeal abscess
Окрелизумаб	ocrelizumab
оксазепам	oxazepam
Оксалатная нефропатия	hyperoxaluria
оксалиплатин	oxaliplatin
оксапрозин	oxaprozin
оксациллин	oxacillin
Окселадин	oxeladin
оксибутинин	(RS)-oxybutynin
оксибутират натрия	sodium oxybate
оксид алюминия	aluminium oxide
оксид магния	magnesium oxide
Оксид цинка (фармакология)	zinc oxide topical cream
оксикодон	oxycodone
оксикодон/парацетамол	Oxycodone/paracetamol
оксиметазолин	oxymetazoline
окситетрациклин	oxytetracycline
окситоцин	oxytocin
оксиэтилидендифосфоновая кислота	etidronic acid
окскарбазепин	oxcarbazepine
оксолиновая кислота	oxolinic acid
Окспренолол	oxprenolol
Октопамин	octopamine
октреотид	octreotide
Окулогирные кризы	oculogyric crisis
оланзапин	olanzapine
Олафлур	olaflur
Олеандомицин	oleandomycin
Олигодендроглиома	oligodendroglioma
олигоменорея	oligomenorrhea
олигоурия	oliguria
омализумаб	omalizumab
Омега-3-ненасыщенные жирные кислоты	omega-3 fatty acid
омепразол	omeprazole
Омнопон	papaveretum
Омская геморрагическая лихорадка	Omsk hemorrhagic fever
Омфалит	omphalitis of newborn
омфалоцеле	omphalocele
ондансетрон	ondansetron
онейрофрения	oneirophrenia
Онихия	nail disease
Онихокриптоз	ingrown nail
Онихолизис	onycholysis
онихомикоз	onychomycosis
Онихофагия	nail biting
опиоид	opioid
опипрамол	opipramol
опиум	opium
опоясывающий лишай	herpes zoster
Опрелость	intertrigo
оптическая нейропатия	optic nerve disease
опухоли глаза	ocular cancer
Опухоли слюнных желёз	salivary gland neoplasm
Опухоли средостения	mediastinal neoplasm
опухоль	tumor
опухоль головы и шеи	head and neck cancer
Опухоль Клатскина	Klatskin's tumor
опухоль Крукенберга	Krukenberg tumor
органический мозговой синдром	organic brain syndrome
органическое расстройство личности	organic personality disorder
оритаванцин	oritavancin
орлистат	orlistat
оромандибулярная дистония	oromandibular dystonia
ортостатический коллапс	orthostatic hypotension
Ортофосфат натрия	trisodium phosphate
орципреналин	metaproterenol
осанка	neutral spine
Осельтамивир	oseltamivir
осложнения беременности	complications of pregnancy
Осложнения инфаркта миокарда	myocardial infarction complication
оспа обезьян	mpox
Оссифицирующий миозит	myositis ossificans
Остаточная мембрана зрачка	persistent pupillary membrane
остаточная шизофрения	residual schizophrenia
остеоартроз	osteoarthritis
остеогенная саркома	osteosarcoma
остеодисплазия	fibrous dysplasia of bone
остеолиз	osteolysis
остеома	osteoma
остеомаляция	osteomalacia
остеомаляция беременных	osteomalacia in pregnancy
остеомиелит	osteomyelitis
остеопения	osteopenia
Остеофит	osteophyte
Остеохондрома	osteochondroma
остеохондропатия	osteochondropathy
Остеохондропластическая трахеобронхопатия	tracheobronchopathia osteochondroplastica
острая дыхательная недостаточность	acute respiratory insufficiency
острая задержка мочи	urinary retention
острая интоксикация	substance intoxication
Острая лучевая болезнь	radiation syndrome
Острая перемежающаяся порфирия	acute intermittent porphyria
острая почечная недостаточность	acute kidney injury
Острая реакция на стресс	acute stress reaction
острый бронхит	acute bronchitis
Острый гастрит	Acute gastritis
Острый живот	acute abdomen
острый коронарный синдром	acute coronary syndrome
острый лейкоз	acute leukemia
Острый моноцитарный лейкоз	acute monocytic leukemia
Острый панмиелоз с миелофиброзом	Acute panmyelosis with myelofibrosis
Острый простатит	acute prostatitis
Острый тучноклеточный лейкоз	mast cell leukemia
Острый эритроидный лейкоз	acute erythroid leukemia
оталгия	otalgia
отёк	edema
Отёк диска зрительного нерва	papilledema
отёк мозга	cerebral edema
Отморожение	frostbite
Отомиаз	aural myiasis
Отомикоз	otomycosis
ототоксичность	ototoxicity
отравление бериллием	acute beryllium poisoning
отравление грибами	mushroom poisoning
отравление кадмием	cadmium poisoning
отравление кобальтом	cobalt poisoning
Отравление марганцем	manganism
отравление металлом	metal poisoning
отравление мышьяком	arsenic poisoning
отравление никотином	nicotine poisoning
отравление оловом	tin poisoning
отравление пестицидами	pesticide poisoning
отравление ртутью	mercury poisoning
отравление свинцом	lead poisoning
отравление стрихнином	strychnine poisoning
отравление таллием	thallium poisoning
отравление угарным газом	carbon monoxide poisoning
отравление фентанилом	fentanyl toxicity
Отравление фосфорорганическими соединениями	Organophosphate poisoning
Отравление цианидами	cyanide poisoning
отравление цинком	zinc toxicity
отрубевидный лишай	pityriasis versicolor
отрыжка	burping
отхаркивающее средство	mucokinetic
офатумумаб	ofatumumab
Офтальмомиаз	ophthalmomyiasis
офтальмоплегия	ophthalmoplegia
падение	falling
паклитаксел	paclitaxel
палбоциклиб	palbociclib
палиперидон	paliperidone
Палоносетрон	(3aS)-palonosetron
памидроновая кислота	pamidronic acid
ПАНДАС	PANDAS
Панитумумаб	panitumumab
паническая атака	panic attack
паническое расстройство	panic disorder
Панкреатин	pancreatin
Панкуроний	pancuronium (cation)
панобиностат	panobinostat
Пантетин	pantethine
пантопразол	pantoprazole
папаверин	papaverine
Папазол	papazole
папилломавирусы человека	human papillomavirus infection
Папиллярный рак щитовидной железы	papillary thyroid cancer
пара-аминобензойная кислота	4-aminobenzoic acid
Пара-аминосалициловая кислота	4-aminosalicylic acid
парагрипп	human parainfluenza
паразитарная болезнь	parasitic infectious diseases
паразитическая пневмония	parasitic pneumonia
Паралич блокового нерва	fourth cranial nerve palsy
Паралич Дежерин-Клюмпке	Klumpke paralysis
Паралич отводящего нерва	abducens nerve palsy
Паралич сопряжённого взгляда	conjugate gaze palsy
паральдегид	paraldehyde
Параметрит	parametritis
параноидная шизофрения	paranoid schizophrenia
параноидное расстройство личности	paranoid personality disorder
параноидный психоз	paranoid psychosis
паранойя	paranoia
паранойяльная шизофрения	paranoial schizophrenia
Парапроктит	Paraproctitis
Парапротеинемические лейкозы	malignant immunoproliferative disease
парасомния	parasomnia
паратиф А	paratyphoid  A
Паратонзиллярный абсцесс	peritonsillar abscess
парафрения	paraphrenia
парацетамол	paracetamol
парез	paresis
парекоксиб	parecoxib
парестезия	paresthesia
паркинсонизм	parkinsonian syndrome
пародонтит	periodontitis
пароксетин	paroxetine
Пароксизм	paroxysmal attack
пассивно-агрессивное поведение	passive–aggressive behavior
пассивно-агрессивное расстройство личности	passive–aggressive personality disorder
патиромер	patiromer
Патисиран	patisiran
Патологическая стираемость зубов	dental abrasion
патологический перелом	pathologic fracture
Патологический прикус	malocclusion
патологическое опьянение	pathological intoxication
Патомимия	factitious dermatitis
пахикарпин	(−)-sparteine
пегилированный интерферон альфа-2а	peginterferon alfa-2a
пектиновые вещества	pectin
Пеллагра	pellagra
Пеллюцидная краевая дегенерация	pellucid marginal degeneration
Пембролизумаб	pembrolizumab
пеметрексед	pemetrexed
пемолин	pemoline
пемфигус	pemphigus
Пентагастрин	pentagastrin
пентазоцин	(-)-pentazocine
пентаэритриттетранитрат	pentaerythritol tetranitrate
Пентилентетразол	pentetrazol
пентобарбитал	(RS)-pentobarbital
Пентозурия	pentosuria
пентоксифиллин	pentoxifylline
Пенфлуридол	penfluridol
пенцикловир	penciclovir
Перамивир	peramivir
Перборат натрия	sodium perborate
первичная полидипсия	primary polydipsia
Первичная ювенильная глаукома	primary congenital glaucoma
первичные иммунодефициты	primary immunodeficiency disease
первичный амёбный менингоэнцефалит	primary amebic meningoencephalitis
первичный туберкулёзный комплекс	Ghon's complex
перголид	pergolide
передозировка барбитуратом	barbiturate overdose
передозировка лекарства	drug overdose
передозировка опиоидами	opioid overdose
Перелом бедренной кости	femoral fracture
перелом голени	leg fracture
Перелом грудины	sternal fracture
Перелом Джефферсона	Jefferson fracture
Перелом диафиза бедренной кости	femoral shaft fracture
Перелом зубовидного отростка	odontoid fracture
Перелом ключицы	clavicle fracture
Перелом костей носа	nasal fracture
перелом костей черепа	skull fracture
перелом кости	bone fracture
Перелом лопатки	scapular fracture
Перелом нижней челюсти	mandibular fracture
перелом основания черепа	basilar skull fracture
Перелом палача	hangman's fracture
Перелом пальцев кисти	finger fracture
Перелом плюсневых костей	Jones fracture
Перелом позвоночника	spinal fracture
Перелом таза	pelvic fracture
Перелом шейки бедра	hip fracture
Переломы рёбер	rib fracture
Переношенная беременность	postterm pregnancy
Перепонка	webbed toes
переутомление	fatigue
Перивентрикулярная лейкомаляция	periventricular leukomalacia
перикардит	pericarditis
перикоронит	pericoronitis
периндоприл	perindopril
Периоральный дерматит	perioral dermatitis
Периорбитальной целлюлит	Periorbital cellulitis
Периостит	periostitis
перитонит	peritonitis
периферическая невропатия	peripheral neuropathy
перициазин	periciazine
перламутровые папулы	pearly penile papules
перманганат калия	potassium permanganate
Перметрин	permethrin
перо	feather
пероксид водорода	hydrogen peroxide
пероксид магния	magnesium peroxide
Персистенция фетального гемоглобина	Hereditary persistence of fetal hemoglobin
Пертузумаб	pertuzumab
перфеназин	perphenazine
Перфорация гайморовой пазухи	oroantral fistula
Перфорация желудочно-кишечного тракта	gastrointestinal perforation
перфорация матки	uterine perforation
Перфторан	Perftoran
перхлорат калия	potassium perchlorate
петехия	petechia
петидин	pethidine
Пефлоксацин	pefloxacin
печёночная колика	biliary colic
печёночно-сосудистое заболевание	hepatic vascular disease
пиблокто	piblokto
Пивмециллинам	amdinocillin pivoxil
Пивной живот	abdominal obesity
пидотимод	pidotimod
пика	pica
Пиклоксидин	picloxydine
пилокарпин	pilocarpine
Пиломатрикома	pilomatrixoma
Пилороспазм	pylorospasm
пимавансерин	pimavanserin
Пимекролимус	pimecrolimus
пимозид	pimozide
пинацидил	pinacidil
пиндолол	pindolol
пиоглитазон	(RS)-pioglitazone
Пионефроз	pyonephrosis
Пипамперон	pipamperone
Пипекуроний	pipecuronium bromide
Пипемидовая кислота	pipemidic acid
пиперазин	piperazine
пипотиазин	pipotiazine
пипрадрол	pipradrol
Пиразинамид	pyrazinamide
Пиразолон	pyrazolone
Пирантел	pyrantel
пирацетам	piracetam
Пирензепин	pirenzepine
Пиретрины	pyrethrin
Пиридоксальфосфат	pyridoxal phosphate
Пиридоксин	pyridoxine
пиридостигмина бромид	pyridostigmine
Пириметамин	pyrimethamine
Пиритинол	pyritinol
Пиритрамид	piritramide
пироксикам	piroxicam
пиролагния	pyrophilia
пиромания	pyromania
Писчий спазм	focal hand dystonia
Питолизант	pitolisant
Питьевое золото	colloidal gold
пищеварительный симптом	digestive sign
пищевая аллергия	food allergy
Плагиоцефалия	plagiocephaly
плазма крови	blood plasma
Пламенеющий невус	port-wine stain
пластырь	adhesive bandage
Платибазия	Platybasia
Плацентарная недостаточность	placental insufficiency
плевральный выпот	pleural effusion
плеврит	pleurisy
Плеканатид	plecanatide
плетал	cilostazol
Плитидепсин	aplidin
Плоская роговица, тип 2	Cornea plana 2
Плоскостопие	flat feet
плохое обращение	abuse
пневмомедиастинум	pneumomediastinum
пневмония	pneumonia
пневмоторакс	pneumothorax
Пневмоцистис	Pneumocystis
Повидон	polyvinylpolypyrrolidone
Повидон-йод	povidone-iodine
повреждение головы	cranial trauma
повреждение организма	major trauma
Повреждения органов грудной клетки	chest trauma
повязка	dressing
пограничное расстройство личности	borderline personality disorder
Подвывих головки лучевой кости	Nursemaid's elbow
Подкожная эмфизема	subcutaneous emphysema
Подкорковая атеросклеротическая энцефалопатия	Binswanger's disease
Подорожник	Psyllium seed husks
Подострый склерозирующий панэнцефалит	subacute sclerosing panencephalitis
Подофиллотоксин	podofilox
подтипы ВИЧ	subtypes of HIV
Подтяжка груди	mastopexy
позаконазол	posaconazole
поздняя дискинезия	tardive dyskinesia
Позотонические реакции	abnormal posturing
Пойкилодермия Сиватта	Poikiloderma of Civatte
Покраснение радужной оболочки	rubeosis iridis
полиартрит	polyarthritis
Поливитаминные препараты	multivitamin
полидиметилсилоксан	polydimethylsiloxane
полидипсия	polydipsia
Поликистоз почек	autosomal dominant polycystic kidney
Поликозанол	Policosanol
полимастия	accessory breast
полименорея	polymenorrhea
Полимиксины	polymyxins
полимиозит	polymyositis
Полиморфная световая сыпь	Polymorphous light eruption
полинаркомания	poly drug use
Полиноксилин	polynoxylin
полиорганная недостаточность	multiple organ dysfunction syndrome
полип	polyp
полип носа	nasal polyps
полип тела матки	endometrial polyp
полип толстой кишки	colorectal polyp
полисиндактилия	polysyndactyly
полителия	nubbin
политравма	polytrauma
полиурия	polyuria
полифагия	polyphagia
полицейское насилие	police violence
Полиэтиленгликоль	polyethylene glycol
поллиноз	allergic rhinitis
помалидомид	pomalidomide
Понтиакская лихорадка	Pontiac fever
поперечный миелит	transverse myelitis
поражение электрическим током	electrical injury
Порез бумагой	paper cut
порок развития груди	breast malformation
Пороцефалёз	porocephaliasis
Послеродовое кровотечение	postpartum hemorrhage
Послеродовой психоз	postpartum psychosis
Послеродовой тиреоидит	postpartum thyroiditis
послеродовые осложнения	puerperal disorders
Пост-СИОЗС сексуальная дисфункция	Post-SSRI sexual dysfunction
Постгеморрагическая анемия	Acute posthemorrhagic anemia
постковидный синдром	long covid
постконтузионный синдром	post-concussion syndrome
Постназальное затекание	post-nasal drip
посттравматическое стрессовое расстройство	post-traumatic stress disorder
посттромбофлебитический синдром	post-thrombotic syndrome
постшизофреническая депрессия	post-schizophrenic depression
потребление каннабиса	cannabis consumption
похмелье	hangover
похудение	weight loss
Почесуха	prurigo
почечная колика	renal colic
Почечнокаменная болезнь	kidney stone disease
почечноклеточный рак	renal cell carcinoma
Правастатин	pravastatin
празиквантел	praziquantel
празозин	prazosin
пралидоксим	pralidoxime
прамипексол	pramipexole
Прамирацетам	pramiracetam
прамлинтид	pramlintide
прасугрель	prasugrel
прегабалин	pregabalin
преднизолон	prednisolone
преднизон	prednisone
Предникарбат	prednicarbate
Преднимустин	prednimustine
преждевременная болезнь Альцгеймера	early-onset Alzheimer's disease
Преждевременное излитие околоплодных вод	premature rupture of membranes
преждевременное половое созревание	precocious puberty
Преждевременное сокращение предсердий	premature atrial contraction
преждевременное телархе	premature thelarche
преждевременные роды	preterm birth
Преноксдиазин	prenoxdiazine
препарат для лечения ожирения	anti-obesity medication
препарат платины	platinum-based antineoplastic
Препараты железа	iron supplement
препараты лития	lithium
пресбиопия	presbyopia
Прилокаин	prilocaine
примидон	primidone
приобретённые пороки сердца	heart valve disease
приобретенный центральный несахарный диабет	acquired central diabetes insipidus
проблема с цветовосприятием	colour vision deficiency
прогестерон	progesterone
Прогнатизм	prognathism
прокаин	procaine
прокаинамид	procainamide
прокарбазин	procarbazine
промазин	promazine
прометазин	(±)-promethazine
проникающая травма	penetrating trauma
проникающее ранение головы	penetrating head injury
Пропанидид	propanidid
пропафенон	(RS)-propafenone
пропиловый спирт	propyl alcohol
Пропионат натрия	sodium propionate
Пропифеназон	propyphenazone
пропофол	propofol
пропранолол	propranolol
простагландины	prostaglandins
простациклин	prostacyclin
Простая почечная киста	simple kidney cyst
простой тип шизофрении	simple-type schizophrenia
простуда	common cold
протамины	protamine
противовирусный препарат	antiviral drug
Противодиарейные средства	antidiarrhoeal
противоинфекционное средство	anti-infective agent
противоопухолевые антибиотики	antineoplastic antibiotics
противопаркинсоническое средство	antiparkinson
противоэпилептический препарат	anticonvulsant agent
противоядие	antidote
Протионамид	protionamide
прохлорперазин	prochlorperazine
прукалоприд	prucalopride
Псевдоартроз	pseudarthrosis
Псевдобульбарный синдром	pseudobulbar palsy
Псевдогипоальдостеронизм	pseudohypoaldosteronism
псевдокиста поджелудочной железы	pancreatic pseudocyst
псевдомембранозный энтероколит	pseudomembranous colitis
Псевдомиксома брюшной полости	pseudomyxoma peritonei
псевдоневрастенический синдром	pseudoneurasthenic syndrome
псевдоневротическая шизофрения	pseudoneurotic schizophrenia
псевдополидистрофия Гурлер	pseudo-Hurler polydystrophy
псевдопсихопатическая шизофрения	pseudopsychopathic schizophrenia
Псевдотуберкулёз	Far East scarlet-like fever
Психалгия	psychogenic pain
Психастения	psychasthenia
психические и поведенческие расстройства	mental and behavioural disorders
психическое расстройство	mental disorder
психогенная рвота	psychogenic vomiting
психолептик	psycholeptic
психологическое насилие	psychological abuse
психоорганический синдром	psychoorganic syndrome
психосексуальное расстройство	psychosexual disorder
психосоматическое заболевание	psychosomatic disease
психосоциальная карликовость	psychosocial short stature
психотическая депрессия	psychotic depression
птеригий	pterygium
птичий грипп	avian influenza
пуликоз	pulicosis
пульпит	pulpitis
пьянство	binge drinking
Пятнистая лихорадка Скалистых гор	Rocky Mountain spotted fever
рабдомиолиз	rhabdomyolysis
Рабдомиома	rhabdomyoma
рабдомиосаркома	rhabdomyosarcoma
рабепразол	(RS)-rabeprazole
Радиальная нейропатия	radial neuropathy
Радикулит	radicular pain
разагилин	rasagiline
Разница в длине ног	unequal leg length
Разрыв вращающей манжеты плеча	rotator cuff tear
разрыв матки	uterine rupture
разрыв позвоночной артерии	vertebral artery dissection
Разрыв селезёнки	ruptured spleen
разрыв сердца	myocardial rupture
рак дыхательной системы	respiratory system cancer
рак желудочно-кишечного тракта	gastrointestinal system cancer
рак жёлчного пузыря	gallbladder cancer
рак кожи	skin cancer
рак кости	bone cancer
рак лёгкого	lung cancer
рак молочной железы	breast cancer
рак простаты	prostate cancer
рак языка	tongue cancer
ралтегравир	raltegravir
Рамелтеон	ramelteon
рамиприл	ramipril
рана	wound
ранибизумаб	ranibizumab
Ранимустин	ranimustine
ранитидин	ranitidine
Ранитидина висмута цитрат	Ranitidine bismuth citrate
расслоение аорты	aortic dissection
Расслоение коронарной артерии	coronary artery dissection
расстройства шизофренического спектра	schizophrenia spectrum disorder
расстройство гендерной идентичности	gender identity disorder
Расстройство добавочного нерва	accessory nerve disease
расстройство компульсивного переедания	binge eating disorder
расстройство личности	personality disorder
расстройство поведения	behavioral disorder
расстройство полового созревания	disorder of puberty
расстройство приёма пищи	eating disorder
расстройство приспособительных реакций	adjustment disorder
расстройство психического развития	developmental disorder
расстройство речи	speech disorder
расстройство сна	sleep disorder
раствор перекиси водорода	hydrogen peroxide solution
Расторможенное расстройство привязанности	disinhibited attachment disorder
растяжение связок	sprain
расщепление нёба	cleft lip and cleft palate
Расщепление позвоночника	spina bifida
Ратиндан	diphenadione
Рахисхизис	Rachischisis
рвота	vomiting
Реактивное расстройство привязанностей	reactive attachment disorder
реакция отторжения трансплантата	transplant rejection
Реакция Яриша — Герксгеймера	Jarisch-Herxheimer reaction
Ребамипид	rebamipide
Ребоксетин	(RS,RS)-reboxetine
Ревматизм	rheumatism
Ревматическая хорея	Sydenham's chorea
Ревмокардит	rheumatic heart disease
регорафениб	regorafenib
регрессивный аутизм	regressive autism
резерпин	reserpine
резорцин	resorcin
Резус-конфликт	Rh disease
Ректовагинальный свищ	rectovaginal fistula
Рекурвация колена	Genu recurvatum
Ремдесивир	remdesivir
ремифентанил	remifentanil
Рениновый рецептор	renin inhibitor
Реополиглюкин	dextran-40
Репаглинид	repaglinide
Реслизумаб	reslizumab
респираторная аллергия	respiratory allergy
респираторное заболевание	respiratory disease
респираторный алкалоз	respiratory alkalosis
респираторный ацидоз	respiratory acidosis
Ретапамулин	retapamulin
Ретикулярная асфиксия	livedo reticularis
Ретинальная мигрень	retinal migraine
ретинобластома	retinoblastoma
ретинол	retinol
Ретроверсия матки	retroverted uterus
Ретроградная эякуляция	retrograde ejaculation
Рибавирин	ribavirin
рибофлавин	riboflavin
ривароксабан	rivaroxaban
ривастигмин	rivastigmine
риккетсиозы	rickettsiosis
рилменидин	rilmenidine
Рилпивирин	rilpivirine
Рилузол	riluzole
римантадин	rimantadine
ринит	rhinitis
Ринолит	rhinolith
Ринофима	rhinophyma
рискованное сексуальное поведение	sexual risk behavior
рисперидон	risperidone
ритонавир	ritonavir
ритуксимаб	rituximab
рифабутин	rifabutin
рифаксимин	rifaximin
рифамицин	rifamycin
рифампицин	rifampicin
родильная горячка	puerperal infection
родимое пятно	birthmark
родинка	nevus
родовая травма	physical birth injuries
розувастатин	rosuvastatin
Рокситромицин	roxithromycin
рокуроний	rocuronium
ромиплостим	romiplostim
Ромосозумаб	Romosozumab
росиглитазон	(RS)-rosiglitazone
ротавирус	Rotavirus
ротавирусная вакцина	rotavirus vaccine
ротавирусная инфекция	Rotaviral gastroenteritis
рофекоксиб	rofecoxib
рофлумиласт	roflumilast
рубец	scar
Рубцовая алопеция	cicatricial alopecia
Рутозид	rutin
саквинавир	saquinavir
сакроилеит	sacroiliitis
салициламид	salicylamide
салициловая кислота	salicylic acid
сальбутамол	rac-salbutamol
сальметерол	salmeterol
самоповреждение	self-injury
самоубийство	suicide
сарециклин	sarecycline
Сарилумаб	sarilumab
саркома Капоши	Kaposi's sarcoma
саркома кости	bone sarcoma
саркома Юинга	Ewing sarcoma
Саркопения	sarcopenia
Саркопсиллёз	tungiasis
Сатраплатин	satraplatin
Сафинамид	safinamide
сахарный диабет 1-го типа	type-1 diabetes
сахарный диабет 2-го типа	type 2 diabetes
светобоязнь	photophobia
свиной грипп	swine influenza
связанное с алкоголем расстройство	alcohol-related disorders
связанное с веществами расстройство	substance-related disorder
связанные со стрессом расстройства	stress-related disorders
Сдавление головного мозга	brain compression
сдавление пуповины	umbilical cord compression
себорейный дерматит	seborrhoeic dermatitis
севофлуран	sevoflurane
Сезонное аффективное расстройство	seasonal affective disorder
Секнидазол	secnidazole
Секретин	secretin
сексуальная девиация	paraphilia
сексуальное отвращение	sexual aversion
Секукинумаб	secukinumab
Селективные модуляторы эстрогенных рецепторов	selective estrogen-receptor modulators
селективный мутизм	selective mutism
селенат натрия	sodium selenate
селенит натрия	sodium selenite
семаглутид	semaglutide
семейная история	family medical history
семейный аденоматозный полипоз	familial adenomatous polyposis
семинома	seminoma
Семустин	semustine
сенестопатическая шизофрения	cenesthopathic schizophrenia
Сеннозид	senna glycoside
сепсис	sepsis
септический шок	septic shock
Сердечная астма	cardiac asthma
сердечная недостаточность	heart failure
сердечно-сосудистые заболевания	cardiovascular disease
сердечные гликозиды	cardiac glycoside
Сертаконазол	(RS)-sertaconazole
сертиндол	sertindole
сертралин	sertraline
Сехифенадин	sequifenadine
сиалидоз	sialidosis type 1
сиалолипидоз	mucolipidosis type IV
сиамские близнецы	conjoined twins
сиблинговое соперничество	sibling rivalry
сибутрамин	(RS)-sibutramine
Сигматизм	lisp
Сигуатера	ciguatera
силденафил	sildenafil
Силибинин	silibinin A
силикат кальция	calcium silicate
силикон	silicone
силимарин	silymarin
симвастатин	simvastatin
симпатомиметик	sympathomimetic drug
Симптом барабанных палочек	nail clubbing
симптом Джейнуэя	Janeway lesion
Симуляция	malingering
Синдром активации тучных клеток	mast cell activation syndrome
синдром Альстрёма	Alström syndrome
Синдром амниотических перетяжек	amniotic band constriction
Синдром Аперта	Apert syndrome
синдром Аспергера	Asperger syndrome
Синдром Ашермана	adhesions of uterus
синдром Бенедикта	Benedikt syndrome
синдром беспокойных ног	restless legs syndrome
Синдром Варкани	Warkany syndrome 2
Синдром верхней полой вены	superior vena cava syndrome
синдром взрывающейся головы	exploding head syndrome
Синдром Видемана — Раутенштрауха	Wiedemann-Rautenstrauch syndrome
синдром Вильямса	Williams-Beuren syndrome
синдром височно-нижнечелюстного сустава	temporomandibular joint syndrome
синдром внезапной детской смерти	sudden infant death syndrome
Синдром Гайе — Вернике	Wernicke–Korsakoff syndrome
синдром Ганзера	Ganser syndrome
Синдром гиперстимуляции яичников	ovarian hyperstimulation syndrome
синдром дата	dhat syndrome
Синдром де Ля Шапеля	XX male syndrome
Синдром Денни — Марфана	Dennie–Marfan syndrome
Синдром Дента	Dent disease
синдром деперсонализации — дереализации	depersonalization-derealization disorder
Синдром детского сотрясения	shaken baby syndrome
Синдром длительного сдавления	crush syndrome
Синдром Жильбера	Gilbert syndrome
Синдром жировой эмболии	fat embolism
синдром зависимости	dependence syndrome
Синдром задержки фазы сна	delayed sleep phase disorder
синдром Зудека	complex regional pain syndrome
синдром избитой женщины	battered woman syndrome
синдром Картагенера	primary ciliary dyskinesia
синдром качающейся головы куклы	Bobble-head doll syndrome
