EN	RU	Category
braxton-hicks	схватки брэкстона-хикса	symptom
breast engorgement	застой молока	symptom
breast engorgement	нагрубание молочных желез	symptom
breast engorgement	прибывание молока	symptom
breast swelling	набухание груди	symptom
breast tenderness	чувствительность груди	symptom
breathing difficulty	затрудненное дыхание	symptom
breathing difficulty	трудность дыхания	symptom
breathing faster than normal	учащенное дыхание	symptom
breathing problems	проблемы с дыханием	symptom
breathing problems	затруднение дыхания	symptom
breathing trouble	проблемы с дыханием	symptom
brittle bones	хрупкие кости	symptom
brown urine	моча коричневого цвета	symptom
bruised	синеть	symptom
bruised	с кровоподтеками	symptom
bruised	кровоподтеки	symptom
bruised spots	синяки	symptom
bruising	кровоподтеки	symptom
bruising	синяк	symptom
bruising	кровоподтек	symptom
bruising	синяки	symptom
burning	жжение	symptom
burning pain	жжение	symptom
burning sensation	жжение	symptom
burning skin	ожоги кожи	symptom
burning when passing urine	жжение при мочеиспускании	symptom
callus	мозоль	symptom
cancer-related fatigue	утомляемость, связанная с раком	symptom
canker sores	афтозный стоматит	symptom
cartilage breakdown	разрушение хряща	symptom
cervical changes	изменения шейки матки	symptom
cervix dilation	раскрытие шейки матки	symptom
change in sleeping pattern	изменение характера сна	symptom
changes in behavior	изменение поведения	symptom
changes in bowel habits	изменения в работе кишечника	symptom
changes in taste and smell	изменения вкуса и запаха	symptom
chest congestion	заложенность в груди	symptom
chest pain	боль в груди	symptom
chest pressure	ощущение сдавливания в груди	symptom
chest pressure	давление в груди	symptom
chest pressure	чувство сдавливания в груди	symptom
chest pressure	сдавливание груди	symptom
chest tightness	сдавленность в грудной клетке	symptom
chewing problems	проблемы с жеванием	symptom
chills	озноб	symptom
choking	удушье	symptom
choking	закупорка дыхательных путей	symptom
choking	поперхивание	symptom
circulation problems	проблемы с кровообращением	symptom
cloudy urine	мутная моча	symptom
cold hands and feet	холодные руки и ноги	symptom
cold hands or feet	холод в руках или ногах	symptom
cold sores	герпес	symptom
coldness	холод	symptom
colon cramping	кишечные спазмы	symptom
colon inflammation	воспаление толстой кишки	symptom
color changes	изменение цвета	symptom
concentration problems	проблемы с вниманием	symptom
confused thoughts	помрачение сознания	symptom
confusion	дезориентация	symptom
confusion	спутанность сознания	symptom
confusion	помутнение сознания	symptom
confusion	чувство замешательства	symptom
confusion	растерянность	symptom
confusion about time and space	ориентацией во времени и пространстве	symptom
constant pain	постоянная боль	symptom
constipation	запор	symptom
contagious	заразный	symptom
continuous cough	непрекращающийся кашель	symptom
contractions	схватки	symptom
convulsions	конвульсии	symptom
convulsions	судороги	symptom
coordination issues	проблемы с координацией движений	symptom
coordination issues	проблемы с координацией	symptom
coordination problems	проблемы с координацией	symptom
corn	костная мозоль	symptom
cough	кашель	symptom
cough that does not go away	кашель, который не проходит	symptom
cough up blood	харкать кровью	symptom
coughing	кашель	symptom
coughing up blood	отхаркивание крови	symptom
cracked lips	потрескавшиеся губы	symptom
cracked nipple	потрескавшийся сосок	symptom
cramping	спазмы	symptom
cramping	спазм	symptom
cramping pain	спазмы и боль	symptom
cramps	спазмы	symptom
crawling sensation	ощущение покалывания	symptom
creeping sensation	ощущение мурашек	symptom
cross-eyed	косоглазие	symptom
crying	плач	symptom
cyanosis	синий или серый оттенок	symptom
cyanosis	посинение	symptom
daytime sleepiness	дневная сонливость	symptom
deafness	глухота	symptom
decreased blood flow	уменьшение притока крови	symptom
decreased fetal movement	снижение двигательной активности плода	symptom
deep cough	глубокий кашель	symptom
deep sleep	крепкий сон	symptom
dehydrate	обезвоживание	symptom
delayed stomach emptying	задержка опорожнения желудка	symptom
diaper rash	опрелость	symptom
diarrhea	понос	symptom
diarrhea	диарея	symptom
dim vision	мутное зрение	symptom
discomfort	дискомфорт	symptom
disorientation	дезориентация	symptom
dizziness	головокружение	symptom
dizzy	головокружение	symptom
double vision	двойное зрение	symptom
double vision	двоение в глазах	symptom
drainage	выделения	symptom
drainage	выделение	symptom
drainage from skin wounds	выделения из ран	symptom
drooling	обильное слюноотделение	symptom
drooling	слюнотечение	symptom
dry eyes	сухость глаз	symptom
dry mouth	сухость во рту	symptom
dull pain	тупая боль	symptom
dysphagia	затруднение глотания	symptom
dysuria	боль при мочеиспускании	symptom
ear drainage	выделения из уха	symptom
ear fullness	заложенность в ухе	symptom
ear pain	боль в ушах	symptom
ear pain	боль в ухе	symptom
earache	ушная боль	symptom
early delivery	преждевременные роды	symptom
eating problems	проблемы с приемом пищи	symptom
emotional changes	эмоциональные изменения	symptom
erectile dysfunction	эректильная дисфункция	symptom
excessive bleeding	сильное кровотечение	symptom
excessive crying	слишком много плачет	symptom
excessive crying	чрезмерная плаксивость	symptom
extreme thirst	сильная жажда	symptom
eye burns	жжение глаз	symptom
eye discharge	выделения из глаз	symptom
eye discomfort	дискомфорт в глазах	symptom
eye injury	повреждения глаз	symptom
eye motion under the lid	движение глаз под веками	symptom
eye pain	боль в глазах	symptom
faint	слабость	symptom
fainting	обмороки	symptom
fainting	обморок	symptom
fall asleep during the day	засыпание в течение дня	symptom
false labor	ложные схватки	symptom
fast breathing	одышка	symptom
fast heart beat	учащенное сердцебиение	symptom
fast heart beats	ускоренное сердцебиение	symptom
faster heartbeat	учащенное сердцебиение	symptom
fatigue	усталость	symptom
fatigue	утомляемость	symptom
fatigue	чувство усталости	symptom
fatigue	сильная усталость	symptom
feeding cues	признаки голода	symptom
feel very tired	испытывать сильную усталость	symptom
feeling dizzy	головокружение	symptom
feeling faint	слабость	symptom
feeling hopeless	безысходность	symptom
feeling sad	чувство грусти	symptom
feeling short of breath	одышка	symptom
feeling tired	чувство усталости	symptom
feeling very tired or weak	сильная усталость или слабость	symptom
feeling worthless	чувство своей ничтожности	symptom
fetal membranes rupture	повреждение плодных оболочек	symptom
fetal movement	подвижность плода	symptom
fever	жар	symptom
fever	лихорадка	symptom
fever	температура	symptom
fever	высокая температура	symptom
fever	повышенная температура	symptom
fever	повышение температуры	symptom
fever and chills	высокая температура и озноб	symptom
fevers	высокая температура	symptom
floaters	плавающие объекты	symptom
floating spots	плавающие точки перед глазами	symptom
flu signs	симптомы гриппа	symptom
fluid buildup	скопление жидкости	symptom
fluttering	учащенное сердцебиение	symptom
foamy urine	пенная моча	symptom
fragile bones	хрупкие кости	symptom
gas	повышенное газообразование	symptom
gas pains	вздутия	symptom
gasping sounds	тяжелое дыхание	symptom
gray stools	стул серого цвета	symptom
green mucus	зеленая мокрота	symptom
growth spurts	периоды резкого увеличения роста	symptom
gum problems	проблемы с деснами	symptom
hair dryness	сухость волос	symptom
hair loss	выпадение волос	symptom
hair loss	потеря волос	symptom
hard stools	твердый стул	symptom
hazy vision	затуманивание зрения	symptom
head congestion	ощущение давления в области головы	symptom
head injury	травма головы	symptom
headache	головная боль	symptom
headache and confusion	головная боль и чувство замешательства	symptom
headaches	головные боли	symptom
hearing loss	ухудшение слуха	symptom
hearing problems	проблемы со слухом	symptom
heart beating fast	учащенное сердцебиение	symptom
heart palpitations	учащенное сердцебиение	symptom
heart problems	проблемы с сердцем	symptom
heart rate changes	изменение сердечного ритма	symptom
heartburn	изжога	symptom
heartburn	жжение в области сердца	symptom
heat cramps	тепловые судороги	symptom
heavy bleeding	сильное кровотечение	symptom
heavy menstrual periods	обильные менструации	symptom
hematuria	кровь в моче	symptom
hemoptysis	отхаркивание крови	symptom
hemoptysis	харканье с кровью	symptom
hiccups	икота	symptom
high blood pressure	повышенное артериальное давление	symptom
high blood sugar	повышенный уровень сахара в крови	symptom
high blood sugar	высокий уровень сахара в крови	symptom
high blood sugar	повышенное содержание сахара в крови	symptom
hives	крапивница	symptom
hoarse voice	хриплый голос	symptom
hopelessness	безнадежность	symptom
hopelessness	чувство безнадежности	symptom
hot flashes	приливы	symptom
hypoglycemia unawareness	неосведомленность о гипогликемии	symptom
impotence	импотенция	symptom
inability to move an arm or leg	невозможность пошевелить конечностями	symptom
incision drainage	выделения из шва	symptom
incision pain	боль в области разреза	symptom
incision swelling	отек швов	symptom
incision swelling	отек в области шва	symptom
increased hunger	повышенное чувство голода	symptom
increased urine output	повышенное выделение мочи	symptom
indigestion	нарушение пищеварения	symptom
indigestion	проблемы с пищеварением	symptom
infection signs	признаки инфекции	symptom
inflamed throat	воспаление горла	symptom
injured foot	травмированная нога	symptom
intraocular pressure	внутриглазное давление	symptom
irregular heart beat	неровное сердцебиение	symptom
irregular heart beat	неравномерное сердцебиение	symptom
irregular heart beats	нерегулярное сердцебиение	symptom
irregular heartbeat	нерегулярный импульс	symptom
irregular heartbeats	нерегулярное сердцебиение	symptom
irritability	раздражительность	symptom
irritable	раздражительность	symptom
irritated throat	раздражение горла	symptom
itching	зуд	symptom
itchy nose	зуд в носу	symptom
itchy skin	зуд на коже	symptom
itchy throat	першение в горле	symptom
jaundice	пожелтение	symptom
joint enlargement	увеличение сустава	symptom
joint inflammation	воспаление суставов	symptom
joint injury	травмы суставов	symptom
joint instability	нестабильность сустава	symptom
joint pain	боль в суставах	symptom
joint pain	боль в суставе	symptom
joint stiffness	скованность сустава	symptom
joint swelling	опухание сустава	symptom
lack energy	нехватка сил	symptom
lack of appetite	отсутствие аппетита	symptom
lack of breathing	прекращение дыхания	symptom
lack of energy	упадок сил	symptom
lack of hunger	отсутствие аппетита	symptom
lack of oxygen	кислородное голодание	symptom
lack of sex drive	отсутствие сексуального влечения	symptom
large baby	увеличение плода	symptom
learning problems	проблемы с обучением	symptom
leg cramps	спазмы в ногах	symptom
leg discomfort	дискомфорт ног	symptom
light headed	слабость	symptom
light sensitivity	чувствительность к свету	symptom
light-headed	головокружение	symptom
lightheaded	помутнение сознания	symptom
lightheaded	головокружение при вставании	symptom
lightheaded	легкость в голове	symptom
lightheaded	головокружение	symptom
lightheadedness	головокружение	symptom
limb loss	потеря конечности	symptom
limited joint use	ограниченная подвижность сустава	symptom
lochia	лохии	symptom
lose balance	потерять равновесие	symptom
loss of appetite	потеря аппетита	symptom
loss of appetite	отсутствие аппетита	symptom
loss of awareness	потеря психической ориентированности	symptom
loss of balance	нарушение равновесия	symptom
loss of central vision	потеря центрального зрения	symptom
loss of communication ability	потеря способности общаться	symptom
loss of consciousness	потеря сознания	symptom
loss of energy	упадок сил	symptom
loss of feeling	потеря чувствительности	symptom
loss of height	потеря веса	symptom
loss of interest	потеря интереса	symptom
loss of interest in sex	потеря интереса к сексу	symptom
loss of memory	потеря памяти	symptom
loss of peripheral vision	потеря бокового зрения	symptom
loss of sense of smell	потеря обоняния	symptom
loud snoring	громкий храп	symptom
low blood cell count	низкое число кровяных клеток	symptom
low blood sugar	низкий уровень сахара в крови	symptom
low estrogen levels	низкий уровень эстрогена	symptom
low sodium	низкий уровень натрия	symptom
lower back pain	боль в пояснице	symptom
lower back pressure	давление в нижней части спины	symptom
lump	припухлость	symptom
lump	новообразование	symptom
memory loss	потеря памяти	symptom
memory loss	проблемы с памятью	symptom
metallic taste	металлический привкус	symptom
mild cramping	легкие судороги	symptom
mood changes	изменения настроения	symptom
mood swings	смена настроения	symptom
mood swings	перепады настроения	symptom
morning sickness	токсикоз	symptom
mouth sores	язвы в ротовой полости	symptom
mouth sores	боль во рту	symptom
mouth sores	язвы во рту	symptom
mouth ulcers	язвы во рту	symptom
mucus	слизь	symptom
mucus	мокрота	symptom
mucus plug	слизистая пробка	symptom
mucus with bowel movements	слизь в каловых массах	symptom
mumbled speech	невнятная речь	symptom
muscle aches	боль в мышцах	symptom
muscle aches	мышечные боли	symptom
muscle cramps	спазм мышц	symptom
muscle loss	потеря мышечной массы	symptom
muscle pain	боль в мышцах	symptom
muscle spasms	спазмы мышц	symptom
muscle tension	напряжение мышц	symptom
muscle twitch	подергивание мышцы	symptom
muscle weakness	слабость мышц	symptom
muscle weakness	мышечная слабость	symptom
narrow stools	тонкий стул	symptom
narrowed blood vessels	сузившиеся кровеносные сосуды	symptom
nasal discharge	выделения из носа	symptom
nasal drainage	выделения из носа	symptom
nausea	тошнота	symptom
nausea and vomiting	тошнота и рвота	symptom
nausea or vomiting	тошнота или рвота	symptom
neck pain	боль в шее	symptom
neck stiffness	скованность в шее	symptom
night sweats	потоотделение во время сна	symptom
night sweats	ночная потливость	symptom
night sweats	потоотделение ночью	symptom
nipple soreness	боли в сосках	symptom
not breathing	не дышит	symptom
numb	неметь	symptom
numbness	онемение	symptom
numbness in feet or hands	онемение стоп или рук	symptom
numbness or tingling	онемение или покалывание	symptom
outbursts of emotion	резкая смена эмоционального состояния	symptom
overweight	лишний вес	symptom
pain	боль	symptom
pain and stiffness	боль и скованность	symptom
pain and swelling	боль и припухлость	symptom
pain when passing urine	боль при мочеиспускании	symptom
painful intercourse	болезненный половой акт	symptom
painful intercourse	боль во время секса	symptom
pale skin	бледность кожи	symptom
pale skin	бледная кожа	symptom
pale skin	бледные кожные покровы	symptom
paleness	бледность	symptom
peeling skin	шелушащаяся кожа	symptom
persistent cough	кашель, который не проходит	symptom
polyuria	частые позывы к мочеиспусканию	symptom
poor appetite	плохой аппетит	symptom
poor appetite	потеря аппетита	symptom
poor blood flow	плохое кровообращение	symptom
poor circulation	проблемы с кровообращением	symptom
poor coordination	расстройства координации	symptom
poor decision making	способностью принимать решения	symptom
poor judgment	неадекватность суждений	symptom
poor memory	проблемы с памятью	symptom
poor muscle control	слабый контроль над мышцами	symptom
poor posture	неправильная осанка	symptom
pregnant	беременна	symptom
pregnant	беременны	symptom
pressure in lower belly	давление внизу живота	symptom
problems with breathing	затрудненное дыхание	symptom
problems with movement	затруднения при ходьбе	symptom
problems with speech	затруднения речи	symptom
pus	гной	symptom
pus drainage	гнойные выделения	symptom
rapid and strong pulse	ускоренный и сильный пульс	symptom
rash	сыпь	symptom
rectal bleeding	кровотечение из прямой кишки	symptom
rectal pressure	ощущение ректального давления	symptom
rectum pressure	давление в прямой кишке	symptom
red marks	красные пятна	symptom
red patches	участки покраснения кожи	symptom
red skin	покраснение кожи	symptom
redness	краснота	symptom
redness	покраснение	symptom
redness and swelling	покраснение или отек	symptom
redness around joint	покраснение кожи около сустава	symptom
redness at incision	покраснение в области шва	symptom
respiratory distress	трудно дышать	symptom
restful sleep	спокойный сон	symptom
restlessness	беспокойство	symptom
ringing in the ear	звон в ухе	symptom
runny nose	насморк	symptom
rupture of membranes	разрыв околоплодных оболочек	symptom
sadness	грусть	symptom
saliva reduction	уменьшение слюноотделения	symptom
scalp sores	язвы на коже головы	symptom
seizure	припадок	symptom
seizure	судороги	symptom
seizure with fever	лихорадка с припадком	symptom
seizures	судороги	symptom
severe headache	сильная головная боль	symptom
severe headaches	сильная головная боль	symptom
severe problems swallowing	серьезные проблемы при глотании	symptom
severe weakness	сильная слабость	symptom
shaking of the body	судороги	symptom
shaky	дрожь	symptom
shaky	трясет	symptom
sharp pain	острая боль	symptom
shortness of breath	одышка	symptom
shortness of breath	затрудненное дыхание	symptom
shortness of breath	затруднение дыхания	symptom
shoulder pain	боль в плечах	symptom
side effects	побочные эффекты	symptom
sinus headache	синусовая головная боль	symptom
sinus pressure	заложенность носовых пазух	symptom
skin blister	волдыри	symptom
skin blisters	пузырьки на коже	symptom
skin breaks	появление на коже язв	symptom
skin burning	ощущение жжения на коже	symptom
skin burns	жжение кожи	symptom
skin dryness	сухость кожи	symptom
skin irritation	раздражение кожи	symptom
skin itching	зуд на коже	symptom
skin lesion	поражение кожи	symptom
skin rash	сыпь	symptom
skin rashes	сыпь на коже	symptom
skin rashes	сыпь	symptom
skin redness	покраснение кожи	symptom
skin wound	кожная рана	symptom
skipped heart beats	пропуск сердечного удара	symptom
skipped heart beats	пропущенные удары сердца	symptom
skipped heartbeats	пропуск сердцебиения	symptom
sleep changes	изменения в состоянии сна	symptom
sleep disturbances	нарушения сна	symptom
sleep problems	проблемы со сном	symptom
sleepiness	сонливость	symptom
slow healing	медленно заживающие раны	symptom
slow healing of wounds	медленное заживление ран	symptom
sneezing	чиханье	symptom
sneezing	чихание	symptom
sore gums	болезненность десен	symptom
sore mouth	язвы во рту	symptom
sore mouth	стоматит	symptom
sore nose	боль в носу	symptom
sore throat	боль в горле	symptom
soreness	болезненные ощущения	symptom
sores	язвы	symptom
sores in the mouth	язвы в полости рта	symptom
speech problems	проблемы с речью	symptom
spitting up	срыгивание	symptom
staring spells	пристальный взгляд	symptom
stiff neck	затвердение затылочных мышц	symptom
stiff neck	твердая шея	symptom
stiffness	скованность	symptom
stomach pain	боль в желудке	symptom
stomach problems	желудочные проблемы	symptom
stomach spasms	судороги в области живота	symptom
stomachaches	боли в животе	symptom
stool	стул	symptom
stooped posture	сутулость	symptom
straining	напряжение при дефекации	symptom
stress	стресс	symptom
stuffy nose	заложенность носа	symptom
sudden urge to urinate	внезапный позыв к мочеиспусканию	symptom
suffocation	удушье	symptom
suicidal thoughts	мысли о самоубийстве	symptom
swallowing problem	проблемы с глотанием	symptom
swallowing problems	затрудненное глотание	symptom
swallowing problems	проблемы глотания	symptom
swallowing problems	проблемы с глотанием	symptom
sweating	усиленное потоотделение	symptom
sweating	потоотделение	symptom
sweating	повышенное потоотделение	symptom
sweats	потоотделение	symptom
swelling	опухание	symptom
swelling	припухлость	symptom
swelling	опухоль	symptom
swelling	отек	symptom
swelling	отечность	symptom
swelling in the body	опухание частей тела	symptom
swelling of neck or face	отек шеи или лица	symptom
swollen	припухлость	symptom
swollen breasts	припухание молочных желез	symptom
swollen eyes	припухлость век	symptom
swollen gums	припухлость десен	symptom
swollen lymph glands	увеличение лимфоузлов	symptom
taste and smell changes	изменения вкусовых ощущений и обоняния	symptom
teething	прорезывание зубов	symptom
temperature changes	изменение температуры	symptom
tender	побаливает	symptom
tender gums	кровоточивость десен	symptom
tender lymph glands	болезненные лимфоузлы	symptom
tenderness	болезненные ощущения	symptom
tenderness	болезненность	symptom
tension headache	головная боль напряжения	symptom
thick mucus	плотная мокрота	symptom
thinning bones	истончение костей	symptom
thirst	жажда	symptom
throbbing headache	пульсирующая головная боль	symptom
throbbing pain	пульсирующая боль	symptom
throwing up	рвота	symptom
tingle	покалывать	symptom
tingling	покалывание	symptom
tingling	пощипывание	symptom
tiredness	ощущение усталости	symptom
tiredness	чувство усталости	symptom
tiredness	усталость	symptom
tongue swelling	отек языка	symptom
tremor	тремор	symptom
trouble breathing	затрудненное дыхание	symptom
trouble breathing	затруднение дыхания	symptom
trouble breathing	проблемы с дыханием	symptom
trouble breathing	трудно дышать	symptom
trouble breathing	трудность дыхания	symptom
trouble falling asleep	трудности с засыпанием	symptom
trouble seeing	проблемы со зрением	symptom
trouble sleeping	проблемы со сном	symptom
trouble speaking	затруднение речи	symptom
trouble staying asleep	трудности с пребыванием в состоянии сна	symptom
trouble staying awake	проблемы с бодрствованием	symptom
trouble swallowing	проблемы с глотанием	symptom
trouble swallowing	затруднение глотания	symptom
trouble walking	проблемы при хождении	symptom
true labor	истинные схватки	symptom
tunnel vision	туннельное зрение	symptom
twitching movements	спазмы мускулов	symptom
ulcers	язвы	symptom
ulcers	язвочки	symptom
unconsciousness	бессознательное состояние	symptom
unconsciousness	потеря сознания	symptom
uncontrolled changes in brain activity	неконтролируемые изменения активности мозга	symptom
upper right abdominal pain	боль в верхней правой части живота	symptom
urge to urinate	частые позывы к мочеиспусканию	symptom
urinary frequency	частое мочеиспускание	symptom
urinary urgency	внезапные позывы к мочеиспусканию	symptom
urinate often	частое мочеиспускание	symptom
urinating problems	проблемы с мочеиспусканием	symptom
urine leakage	вытекание мочи	symptom
uterine contractions	сокращения матки	symptom
uterine cramping	судороги матки	symptom
vaginal bleeding	вагинальное кровотечение	symptom
vaginal bleeding	кровянистые выделения из влагалища	symptom
vaginal burning	жжение около влагалища	symptom
vaginal discharge	влагалищные выделения	symptom
vaginal discharge	выделения из влагалища	symptom
vaginal discharge	выделения	symptom
vaginal dryness	сухость влагалища	symptom
vaginal dryness	вагинальная сухость	symptom
vaginal itching	зуд во влагалище	symptom
vaginal itching	зуд около влагалища	symptom
vaginal itching	зуд влагалища	symptom
vaginal sores	язвы около влагалища	symptom
vaginal warts	бородавки около влагалища	symptom
vision changes	изменения зрения	symptom
vision loss	потеря зрения	symptom
vision problems	проблемы со зрением	symptom
vomit	рвота	symptom
vomiting	рвота	symptom
vomiting blood	рвота с кровью	symptom
warm flush	ощущение жара	symptom
warmth	повышение температуры	symptom
warmth	жжение	symptom
warmth around joint	ощущение тепла около сустава	symptom
water breaks	отход вод	symptom
watery eyes	слезотечение	symptom
watery eyes	слезящиеся глаза	symptom
weak	слабость	symptom
weak cough	слабый кашель	symptom
weak immune system	слабый иммунитет	symptom
weak leg	ослабленная нога	symptom
weak pulse	слабый пульс	symptom
weakened immune system	ослабленная иммунная система	symptom
weakness	слабость	symptom
weakness in leg	слабость в ногах	symptom
weight gain	набор веса	symptom
weight gain	увеличение веса	symptom
weight loss	потеря веса	symptom
weight loss or gain	похудение или увеличение веса	symptom
wet diapers	мочеиспускание	symptom
wheezing	свистящее дыхание	symptom
wheezing	хрипы	symptom
whistling	свист	symptom
white patches in the throat	белые бляшки в горле	symptom
withdrawal symptoms	симптомы абстиненции	symptom
worn cartilage	износившийся хрящ	symptom
wound	рана	symptom
wound drainage	выделения из области раны	symptom
yellow eyes	желтые глаза	symptom
yellow mucus	желтая мокрота	symptom
yellow or green mucus	желтая или зеленая мокрота	symptom
yellow skin	желтая кожа	symptom
yellowing of skin and eyes	окрашенность кожи и белков глаз в желтый цвет	symptom
24-hour urine test	суточный анализ мочи	test
a1c test	анализ a1c	test
abdominal ultrasound	узи брюшной полости	test
albumin test	анализ на альбумин	test
allergy testing	аллергические пробы	test
alpha fetoprotein test	тест на альфа-фетопротеин	test
angiogram	ангиография	test
axillary temperature	температура под мышкой	test
baby's heart rate	сердечный ритм плода	test
baby's heartbeat	сердцебиение плода	test
barium enema	бариевая клизма	test
barium x-ray	рентген с барием	test
barium x-rays	рентген с барием	test
biophysical profile	биофизический профиль	test
bladder test	уродинамическое исследование	test
blood cholesterol level	уровень холестерина в крови	test
blood glucose	глюкоза в крови	test
blood pressure	кровяное давление	test
blood pressure	давление	test
blood pressure check	проверка артериального давления	test
blood pressure check	измерение давления	test
blood sample	анализ крови	test
blood sugar	уровень сахара	test
blood sugar	сахар в крови	test
blood sugar	уровень сахара в крови	test
blood sugar level	уровень сахара в крови	test
blood sugar levels	уровень сахара в крови	test
blood test	анализ крови	test
blood test for jaundice	анализ крови на желтуху	test
blood tests	анализы крови	test
blood tests	анализ крови	test
blood type	группа крови	test
blood urea nitrogen	азот в составе мочевины крови	test
body temperature	температура тела	test
bone densitometry test	остеоденситометрия	test
bone density	плотность костей	test
bone marrow biopsy	биопсия костного мозга	test
bone mineral density test	анализ минеральной плотности костной ткани	test
bone scan	сцинтиграфия	test
brain activity	активность мозга	test
breast ultrasound	узи молочных желез	test
breathing	дыхание	test
breathing rate	частота дыхания	test
bun test	анализ bun	test
cancer screening	тестирование на рак	test
cardiac magnetic resonance imaging	магнитно-резонансная томография сердца	test
cardiac stress test	нагрузочный тест сердца	test
cardiac ultrasound	узи сердца	test
cervical cancer screening	скрининг на рак шейки матки	test
chest x-ray	рентген грудной клетки	test
chest x-ray	флюорография грудной клетки	test
chest x-ray	рентгенография органов грудной клетки	test
chest x-ray	флюорография	test
chest x-ray	рентгенография легких	test
chest x-ray	рентгеновский снимок грудной клетки	test
cholesterol test	анализ крови на холестерин	test
clean catch urine sample	сбор мочи методом clean catch	test
computerized tomography scan	кт-сканирование	test
contraction stress test	контрактильный стрессовый тест	test
coronary angiogram	коронарная ангиограмма	test
creatinine test	тест на креатинин	test
ct scan	кт	test
dental x-rays	рентген зубов	test
diastolic reading	диастолическое давление	test
dilated eye exam	офтальмоскопия при расширенном зрачке	test
dual-energy x-ray absorptiometry	двухэнергетическая рентгеновская абсорбциометрия	test
dxa scan	dxa сканирование	test
ecg	экг	test
echocardiogram	эхокардиограмма	test
eeg	ээг	test
egd	фгдс	test
ekg	экг	test
electrocardiogram	электрокардиограмма	test
electrocardiogram	экг	test
electroencephalogram	электроэнцефалограмма	test
electromyogram	электромиография	test
electromyography	электромиография	test
electrophysiology study	электрофизиологическое исследование	test
emg	эмг	test
endogastroduodenoscopy	эндоскопия верхних отделов	test
eps	эфи	test
exercise stress test	нагрузочный тест на тренажере	test
eye pressure test	измерение внутриглазного давления	test
fall risk assessment	оценка риска падений	test
fasting blood sugar	анализ крови на сахар натощак	test
fasting blood sugar test	анализ уровня сахара натощак	test
fasting plasma glucose	анализ глюкозы плазмы натощак	test
fetal heart rate	частота сердечных сокращений плода	test
fetal movement count	подсчет частоты шевеления плода	test
gastric emptying scan	сканирование опорожнения желудка	test
glucose level	уровень глюкозы	test
glucose levels	уровень глюкозы	test
glucose meter	измеритель глюкозы	test
glucose meter	глюкометр	test
glucose screening	часовой глюкозотолерантный тест	test
glucose testing	анализ на определение уровня сахара в крови	test
glucose testing	анализ крови на содержание глюкозы	test
glucose tolerance test	глюкозотолерантный тест	test
glucose tolerance test	тест на толерантность к глюкозе	test
hba1c	hba1c	test
hdl	лпвп	test
hearing test	проверка слуха	test
heart monitor	сердечный монитор	test
heart rate	пульс	test
heart rate	сердечный ритм	test
heart rate	сердцебиение ребенка	test
hemoglobin a1c	гемоглобин a1c	test
hemoglobin a1c	гликированный гемоглобин	test
high density lipoproteins	липопротеиды высокой плотности	test
hiv testing	тест на вич	test
holter monitor	холтеровский монитор	test
holter monitoring	мониторинг холтера	test
hormone levels	уровень гормонов	test
iron level	уровень железа	test
lab tests	лабораторные анализы	test
lancet	ланцет	test
lancing device	ланцетное устройство	test
ldl	лпнп	test
leg movements	движение ног	test
low density lipoproteins	липопротеиды низкой плотности	test
lung function tests	тесты функции легких	test
magnetic resonance image	мрт	test
magnetic resonance imaging	магнитно-резонансная томография	test
mammogram	маммограмма	test
mammogram	маммография	test
medicine stress test	нагрузочный тест с помощью лекарства	test
microalbuminuria test	анализ на микроальбумины	test
modified barium swallow	рентгенологическое исследование пищевода с барием	test
modified biophysical profile	модифицированный биофизический профиль	test
mri	мрт	test
mri	магнитно-резонансная томография	test
muga	радионуклидная ангиография	test
nerve conduction study	исследование нервной проводимости	test
nerve conduction test	тест нервной проводимости	test
nerve conduction test	исследование нервной проводимости	test
non-stress test	нестрессовый тест	test
oral temperature	температура при измерении во рту	test
oxygen in blood	кислород в крови	test
oxygen level	уровень кислорода	test
oxygen levels	уровень кислорода	test
pap smear	мазок папаниколау	test
peak flow	пневмотахометрия	test
peak flow meter	пневмотахометр	test
peak flow meter	пикфлоуметр	test
pelvic exam	осмотр у гинеколога	test
pelvic ultrasound	узи органов малого таза	test
pet scan	пэт	test
polysomnography	полисомнография	test
positron emission tomography scan	пэт-сканирование	test
pregnancy test	тест на беременность	test
pulmonary function tests	функциональные тесты легких	test
pulse	пульс	test
quad screen	четверной тест	test
rectal temperature	ректальная температура	test
rectal temperature	температура в заднем проходе	test
retinal test	исследование сетчатки	test
rh factor	резус-фактор	test
rubella antibodies	антитела к краснухе	test
scans	сканирование	test
skin exam	осмотр кожи	test
skin test	кожный тест	test
skin tests	кожные пробы	test
sleep diary	дневник сна	test
sleep study	исследование сна	test
specimen	образец	test
sputum culture	анализ мокроты	test
sputum culture	бактериологическое исследование мокроты	test
sputum test	анализ мокроты	test
stool sample	анализ стула	test
stool test	анализ кала	test
stress echo	стресс-эхокардиография	test
stress echocardiogram	стресс-эхокардиография	test
stress muga	радионуклидная ангиография с нагрузкой	test
stress test	нагрузочный тест	test
systolic reading	систолическое давление	test
temporal temperature	лобная температура	test
test results	результаты исследования	test
test strips	тест-полоски	test
throat swab	мазок задней стенки горла	test
thyroid scan	тиреосцинтиграфия	test
thyroid ultrasound	узи щитовидной железы	test
tissue samples	образцы ткани	test
total cholesterol blood level	общий уровень холестерина в крови	test
